codigo_municipio,moe_risk_2007,moe_high_risk_2007,moe_risk_2010,moe_high_risk_2010,moe_risk_2011,moe_high_risk_2011,moe_risk_2014,moe_high_risk_2014,moe_risk_2015,moe_high_risk_2015,moe_risk_2016,moe_high_risk_2016,moe_risk_2018,moe_high_risk_2018,moe_risk_2019,moe_high_risk_2019,moe_risk_2022,moe_high_risk_2022,moe_risk_2023,moe_high_risk_2023,armed_group_presence,is_pdet,coca_hectares,risk_level,high_risk_flag
15092,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
05093,high,1,low,0,low,0,high,1,low,0,low,0,low,0,low,0,low,0,medium,0,0,0,0.0,medium,0
68092,low,0,low,0,low,0,low,0,low,0,low,0,medium,0,low,0,low,0,low,0,0,0,0.0,low,0
25095,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
15097,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
54099,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
11001,low,0,low,0,extreme,1,low,0,low,0,low,0,extreme,1,low,0,high,1,low,0,0,0,0.0,low,0
25099,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
27099,extreme,1,low,0,low,0,high,1,high,1,medium,0,low,0,extreme,1,extreme,1,extreme,1,0,0,0.0,extreme,1
19100,low,0,low,0,medium,0,low,0,low,0,high,1,low,0,low,0,low,0,low,0,0,0,0.0,low,0
68101,medium,0,extreme,1,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
76100,low,0,low,0,low,0,low,0,low,0,medium,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
20060,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
15104,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
05107,medium,0,low,0,low,0,high,1,extreme,1,high,1,extreme,1,high,1,extreme,1,extreme,1,0,0,0.0,extreme,1
15106,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
68001,high,1,low,0,low,0,low,0,medium,0,low,0,extreme,1,high,1,low,0,low,0,0,0,0.0,low,0
54109,high,1,high,1,low,0,low,0,low,0,low,0,low,0,low,0,high,1,low,0,0,0,0.0,low,0
15109,low,0,low,0,medium,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
76109,high,1,low,0,extreme,1,low,0,extreme,1,extreme,1,extreme,1,extreme,1,low,0,extreme,1,0,0,0.0,extreme,1
23079,medium,0,extreme,1,low,0,high,1,low,0,low,0,extreme,1,low,0,low,0,low,0,0,0,0.0,low,0
63111,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
70110,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
19110,low,0,low,0,low,0,high,1,extreme,1,extreme,1,high,1,high,1,low,0,extreme,1,0,0,0.0,extreme,1
52110,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
76113,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
05113,low,0,low,0,low,0,low,0,low,0,high,1,high,1,low,0,medium,0,high,1,0,0,0.0,high,1
15114,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
25120,low,0,medium,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
68121,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
50124,extreme,1,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
94886,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,medium,0,0,0,0.0,medium,0
05120,medium,0,extreme,1,low,0,high,1,low,0,extreme,1,extreme,1,extreme,1,extreme,1,extreme,1,0,0,0.0,extreme,1
25123,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
54128,high,1,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
54125,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
05125,medium,0,low,0,low,0,high,1,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
76122,low,0,low,0,medium,0,low,0,low,0,low,0,low,0,high,1,low,0,low,0,0,0,0.0,low,0
70124,extreme,1,low,0,low,0,high,1,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
73124,medium,0,medium,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
19130,low,0,low,0,low,0,low,0,high,1,high,1,low,0,high,1,low,0,low,0,0,0,0.0,low,0
25126,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
13140,medium,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
95015,high,1,extreme,1,high,1,extreme,1,high,1,medium,0,high,1,high,1,high,1,extreme,1,0,0,0.0,extreme,1
63130,high,1,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
05129,low,0,low,0,extreme,1,high,1,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
15131,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
19137,low,0,low,0,low,0,low,0,high,1,extreme,1,low,0,extreme,1,low,0,extreme,1,0,0,0.0,extreme,1
76001,high,1,low,0,extreme,1,low,0,medium,0,low,0,extreme,1,high,1,low,0,low,0,0,0,0.0,low,0
68132,extreme,1,low,0,low,0,low,0,low,0,medium,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
76126,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
19142,medium,0,low,0,low,0,low,0,low,0,high,1,low,0,low,0,low,0,low,0,0,0,0.0,low,0
05134,high,1,low,0,extreme,1,extreme,1,extreme,1,high,1,medium,0,low,0,high,1,extreme,1,0,0,0.0,extreme,1
08137,medium,0,low,0,low,0,high,1,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
41132,medium,0,high,1,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
15135,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
23090,low,0,low,0,low,0,low,0,low,0,high,1,low,0,low,0,low,0,low,0,0,0,0.0,low,0
08141,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
76130,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
13160,high,1,high,1,low,0,low,0,low,0,high,1,low,0,low,0,low,0,extreme,1,0,0,0.0,extreme,1
05138,low,0,low,0,low,0,low,0,low,0,low,0,medium,0,low,0,low,0,high,1,0,0,0.0,high,1
25148,low,0,low,0,low,0,high,1,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
68147,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
25151,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
05142,low,0,low,0,high,1,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
05145,low,0,medium,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
68152,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
05147,high,1,low,0,medium,0,low,0,low,0,high,1,high,1,low,0,low,0,low,0,0,0,0.0,low,0
73148,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
25154,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
27150,low,0,low,0,low,0,low,0,medium,0,high,1,extreme,1,extreme,1,low,0,high,1,0,0,0.0,high,1
05150,high,1,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
13001,high,1,low,0,extreme,1,low,0,low,0,low,0,extreme,1,high,1,low,0,low,0,0,0,0.0,low,0
18150,high,1,medium,0,high,1,extreme,1,extreme,1,extreme,1,extreme,1,high,1,extreme,1,extreme,1,0,0,0.0,extreme,1
76147,high,1,low,0,high,1,low,0,high,1,high,1,low,0,high,1,low,0,low,0,0,0,0.0,low,0
97161,high,1,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
73152,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
50150,extreme,1,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
05154,low,0,low,0,low,0,low,0,low,0,high,1,low,0,low,0,low,0,low,0,0,0,0.0,low,0
68160,extreme,1,high,1,low,0,extreme,1,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
23162,high,1,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
15162,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
68162,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
47161,medium,0,low,0,low,0,high,1,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
27160,low,0,low,0,high,1,low,0,medium,0,high,1,low,0,low,0,low,0,low,0,0,0,0.0,low,0
52240,low,0,low,0,low,0,high,1,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
25168,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
70230,extreme,1,medium,0,low,0,high,1,high,1,low,0,low,0,low,0,low,0,high,1,0,0,0.0,high,1
85015,medium,0,low,0,low,0,high,1,extreme,1,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
73168,high,1,low,0,extreme,1,low,0,low,0,medium,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
68167,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
68169,extreme,1,low,0,low,0,extreme,1,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
25175,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
05172,medium,0,low,0,medium,0,medium,0,low,0,high,1,high,1,medium,0,low,0,low,0,0,0,0.0,low,0
23168,low,0,low,0,low,0,high,1,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
68176,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
20175,low,0,low,0,high,1,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
54172,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
15172,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
17174,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
23182,low,0,extreme,1,low,0,high,1,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
25178,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
68179,low,0,low,0,low,0,high,1,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
15176,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
15232,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
20178,low,0,low,0,low,0,low,0,low,0,high,1,low,0,low,0,low,0,low,0,0,0,0.0,low,0
15180,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
15183,medium,0,low,0,medium,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
54174,low,0,high,1,medium,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
15185,medium,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
15187,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
47170,extreme,1,low,0,extreme,1,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
15236,medium,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
25181,low,0,medium,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
25183,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
13188,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
47189,medium,0,low,0,low,0,low,0,low,0,high,1,low,0,low,0,low,0,low,0,0,0,0.0,low,0
23189,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
15189,medium,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
68190,medium,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
63190,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
05190,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
05101,low,0,low,0,high,1,low,0,low,0,low,0,low,0,low,0,low,0,medium,0,0,0,0.0,medium,0
13222,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
05197,high,1,low,0,low,0,high,1,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
73200,low,0,low,0,medium,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
25200,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
41206,high,1,low,0,high,1,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
52203,low,0,low,0,medium,0,low,0,high,1,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
86219,low,0,low,0,low,0,high,1,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
70204,low,0,low,0,low,0,medium,0,low,0,medium,0,medium,0,low,0,low,0,high,1,0,0,0.0,high,1
15204,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
05206,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
68207,low,0,low,0,medium,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
05209,low,0,low,0,low,0,high,1,low,0,high,1,low,0,low,0,low,0,low,0,0,0,0.0,low,0
47205,low,0,low,0,low,0,high,1,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
27205,medium,0,low,0,low,0,low,0,low,0,medium,0,low,0,low,0,low,0,high,1,0,0,0.0,high,1
68209,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
52207,medium,0,low,0,low,0,high,1,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
52210,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
68211,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
54206,high,1,low,0,high,1,medium,0,high,1,high,1,extreme,1,low,0,extreme,1,low,0,0,0,0.0,low,0
05212,low,0,low,0,low,0,medium,0,low,0,low,0,medium,0,medium,0,low,0,low,0,0,0,0.0,low,0
15212,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
13212,extreme,1,low,0,low,0,high,1,low,0,low,0,medium,0,low,0,low,0,low,0,0,0,0.0,low,0
52215,low,0,low,0,low,0,low,0,medium,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
63212,low,0,high,1,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
19212,medium,0,low,0,low,0,medium,0,low,0,extreme,1,extreme,1,low,0,low,0,low,0,0,0,0.0,low,0
68217,low,0,low,0,medium,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
70215,high,1,low,0,high,1,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
15215,medium,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
25214,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
23300,high,1,low,0,low,0,high,1,low,0,low,0,extreme,1,low,0,low,0,low,0,0,0,0.0,low,0
15218,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
70221,medium,0,low,0,low,0,low,0,low,0,low,0,extreme,1,low,0,low,0,medium,0,0,0,0.0,medium,0
73217,high,1,low,0,low,0,low,0,low,0,low,0,high,1,extreme,1,low,0,low,0,0,0,0.0,low,0
81220,low,0,medium,0,medium,0,high,1,low,0,low,0,low,0,medium,0,extreme,1,high,1,0,0,0.0,high,1
52224,low,0,low,0,low,0,low,0,high,1,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
15223,low,0,medium,0,low,0,low,0,low,0,medium,0,high,1,high,1,low,0,low,0,0,0,0.0,low,0
50223,low,0,medium,0,medium,0,low,0,high,1,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
15224,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
25224,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
54001,high,1,low,0,extreme,1,low,0,extreme,1,high,1,extreme,1,extreme,1,low,0,extreme,1,0,0,0.0,extreme,1
54223,low,0,low,0,low,0,high,1,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
15226,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
50226,high,1,low,0,low,0,low,0,low,0,low,0,high,1,low,0,low,0,low,0,0,0,0.0,low,0
99773,extreme,1,extreme,1,medium,0,medium,0,high,1,high,1,high,1,low,0,high,1,high,1,0,0,0.0,high,1
52227,medium,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
52233,high,1,medium,0,extreme,1,high,1,low,0,low,0,low,0,high,1,low,0,extreme,1,0,0,0.0,extreme,1
73226,low,0,low,0,low,0,low,0,medium,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
18205,extreme,1,medium,0,high,1,high,1,high,1,low,0,low,0,low,0,high,1,low,0,0,0,0.0,low,0
68229,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
20228,medium,0,medium,0,medium,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
05234,extreme,1,extreme,1,extreme,1,extreme,1,high,1,extreme,1,high,1,low,0,low,0,high,1,0,0,0.0,high,1
76233,low,0,low,0,high,1,low,0,medium,0,medium,0,low,0,low,0,low,0,high,1,0,0,0.0,high,1
44090,high,1,high,1,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
44098,low,0,low,0,low,0,high,1,medium,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
73236,low,0,extreme,1,high,1,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
05237,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
66170,low,0,low,0,extreme,1,low,0,medium,0,high,1,medium,0,low,0,low,0,high,1,0,0,0.0,high,1
15238,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
54239,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
05240,low,0,low,0,low,0,low,0,low,0,low,0,low,0,high,1,low,0,low,0,0,0,0.0,low,0
76243,low,0,medium,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
05250,high,1,low,0,extreme,1,medium,0,high,1,extreme,1,extreme,1,high,1,low,0,extreme,1,0,0,0.0,extreme,1
47245,low,0,high,1,low,0,low,0,low,0,low,0,low,0,low,0,low,0,low,0,0,0,0.0,low,0
