codigo_municipio,ipm_2018,ipm_2018_imputed,ipm_2022,ipm_2022_imputed
05002,0.1588426984159165,True,0.1588426984159165,True
54003,0.2076902500365385,True,0.2076902500365385,True
05004,0.1588426984159165,True,0.1588426984159165,True
50006,0.1792150140840833,True,0.1792150140840833,True
27006,0.2805305637460625,True,0.2805305637460625,True
41006,0.200485645603982,True,0.200485645603982,True
13006,0.2137851743689069,True,0.2137851743689069,True
41013,0.200485645603982,True,0.200485645603982,True
25001,0.1589957001992672,True,0.1589957001992672,True
20011,0.2079822727349517,True,0.2079822727349517,True
68013,0.1751835953101328,True,0.1751835953101328,True
17013,0.1694528733883225,True,0.1694528733883225,True
85010,0.18724478605741,True,0.18724478605741,True
20013,0.2079822727349517,True,0.2079822727349517,True
41016,0.200485645603982,True,0.200485645603982,True
25019,0.1589957001992672,True,0.1589957001992672,True
52019,0.2183487060505397,True,0.2183487060505397,True
18029,0.2212326863924864,True,0.2212326863924864,True
44035,0.284318656230732,True,0.284318656230732,True
68020,0.1751835953101328,True,0.1751835953101328,True
76020,0.1590938131982256,True,0.1590938131982256,True
52022,0.2183487060505397,True,0.2183487060505397,True
05021,0.1588426984159165,True,0.1588426984159165,True
47030,0.2264530921208074,True,0.2264530921208074,True
41020,0.200485645603982,True,0.200485645603982,True
19022,0.2225297877342232,True,0.2225297877342232,True
15022,0.1811504657502856,True,0.1811504657502856,True
73024,0.1846202682881172,True,0.1846202682881172,True
41026,0.200485645603982,True,0.200485645603982,True
27025,0.2805305637460625,True,0.2805305637460625,True
13030,0.2137851743689069,True,0.2137851743689069,True
73026,0.1846202682881172,True,0.1846202682881172,True
05030,0.1588426984159165,True,0.1588426984159165,True
05031,0.1588426984159165,True,0.1588426984159165,True
73030,0.1846202682881172,True,0.1846202682881172,True
25035,0.1589957001992672,True,0.1589957001992672,True
52036,0.2183487060505397,True,0.2183487060505397,True
76036,0.1590938131982256,True,0.1590938131982256,True
05034,0.1588426984159165,True,0.1588426984159165,True
05036,0.1588426984159165,True,0.1588426984159165,True
05038,0.1588426984159165,True,0.1588426984159165,True
25040,0.1589957001992672,True,0.1589957001992672,True
05040,0.1588426984159165,True,0.1588426984159165,True
17042,0.1694528733883225,True,0.1694528733883225,True
76041,0.1590938131982256,True,0.1590938131982256,True
05044,0.1588426984159165,True,0.1588426984159165,True
73043,0.1846202682881172,True,0.1846202682881172,True
05045,0.1588426984159165,True,0.1588426984159165,True
66045,0.169324647624077,True,0.169324647624077,True
25599,0.1589957001992672,True,0.1589957001992672,True
15047,0.1811504657502856,True,0.1811504657502856,True
47053,0.2264530921208074,True,0.2264530921208074,True
17050,0.1694528733883225,True,0.1694528733883225,True
68051,0.1751835953101328,True,0.1751835953101328,True
81001,0.2331527450278192,True,0.2331527450278192,True
81065,0.2331527450278192,True,0.2331527450278192,True
25053,0.1589957001992672,True,0.1589957001992672,True
52051,0.2183487060505397,True,0.2183487060505397,True
54051,0.2076902500365385,True,0.2076902500365385,True
05051,0.1588426984159165,True,0.1588426984159165,True
15051,0.1811504657502856,True,0.1811504657502856,True
13042,0.2137851743689069,True,0.2137851743689069,True
05055,0.1588426984159165,True,0.1588426984159165,True
19050,0.2225297877342232,True,0.2225297877342232,True
76054,0.1590938131982256,True,0.1590938131982256,True
47058,0.2264530921208074,True,0.2264530921208074,True
13052,0.2137851743689069,True,0.2137851743689069,True
05059,0.1588426984159165,True,0.1588426984159165,True
63001,0.1602930224570084,True,0.1602930224570084,True
73055,0.1846202682881172,True,0.1846202682881172,True
13062,0.2137851743689069,True,0.2137851743689069,True
20032,0.2079822727349517,True,0.2079822727349517,True
73067,0.1846202682881172,True,0.1846202682881172,True
27050,0.2805305637460625,True,0.2805305637460625,True
