codigo_municipio,pct_ingresos_propios,gastos_totales_per_capita,transferencias_per_capita,ingresos_tributarios_per_capita
01001,,1170860.0025,85856.86750000001,227785.605
05001,0.9628365374915858,1699962.0885714286,25331.45857142857,546604.0785714287
05002,0.643769648861143,979132.3885714285,65856.11142857143,108344.26142857142
05004,0.45354750476061206,1862437.3442857142,231679.92714285714,155352.45142857142
05021,0.5666004950782628,2036017.5628571429,189668.48285714287,198742.20857142858
05030,0.9188811947825926,851355.7457142856,29455.601428571426,338196.13714285713
05031,0.7778069715888547,1129932.65,61296.22142857143,172198.88428571427
05034,0.8355797653515474,884863.8914285714,49570.51285714286,165477.06714285715
05036,0.6741916240762935,1269064.1971428574,114949.33714285714,159428.72
05038,0.6126062006918821,1402504.8642857145,135497.64857142858,179421.0157142857
05040,0.6545980273788145,1269630.277142857,81694.56999999999,125016.75571428573
05042,0.9380830416827888,1403502.8828571427,35481.30285714286,433158.07
05044,0.5627999624634994,1593836.137142857,145978.76428571428,136741.75714285715
05045,0.984696492940156,1326382.97,3709.7885714285717,221165.14285714287
05051,0.6045561398868795,1138975.2028571428,110417.79428571429,120042.32714285715
05055,0.5154663139447416,1332778.7457142856,99774.87142857142,100710.06714285715
05059,0.545767894961369,1304675.3885714284,158877.64571428573,142196.0
05079,0.9244279552818052,954791.6314285714,36070.525714285715,330801.63714285713
05086,0.6425629654122763,1778924.517142857,140619.87857142856,202663.27
05088,0.989939124953349,645549.2128571429,2212.7114285714283,221880.75142857144
05091,0.6651951813518039,1138417.7814285713,86654.81857142856,152757.95714285714
05093,0.6389792394801778,1095014.0157142857,72197.98857142856,106717.16714285714
05101,0.8791838911858887,1026071.9271428572,31650.519999999997,184434.98714285716
05107,0.8252299506244818,2266603.9714285717,155207.82142857142,823797.7357142858
05113,0.6801068889590033,2048311.0228571428,173983.21,348066.73999999993
05120,0.6699419790138924,878335.2085714285,49723.11142857142,91081.58714285714
05125,0.5189766524701628,1440609.5299999998,153558.7442857143,102584.90857142858
05129,0.9661658189737669,582010.5428571429,14199.081428571428,269095.02571428573
05134,0.48483477548568865,1353124.2585714287,164401.57428571428,95135.74285714286
05138,0.7268162567380279,1547678.7714285715,96806.57999999999,237134.1557142857
05142,0.6528123601910133,1981289.2314285713,135958.25142857144,204103.59428571427
05145,0.6269639833854176,1522777.6300000001,132460.18857142856,156837.25714285715
05147,0.9049983041773467,1138650.2257142856,23881.94,201332.99285714285
05148,0.9685147696545042,931155.3742857141,16815.64285714286,445999.84142857144
05150,0.6528701962561324,2690389.2466666666,229432.64,302031.955
05154,0.926931647045088,925263.3571428572,17957.862857142856,202993.86428571428
05172,0.889419744887287,867836.0,23360.225714285712,165062.4642857143
05190,0.7569846693941278,1407605.6357142855,93093.56428571428,276147.86285714287
05197,0.7106899847607374,1180625.21,69065.63142857143,160053.22
05206,0.6176111665134628,2027654.2799999998,163399.0114285714,203359.08285714287
05209,0.7188742095257818,895659.3099999999,57084.45285714285,125055.99142857142
05212,0.9829141994780483,713956.1785714285,7186.132857142858,366452.9485714286
05234,0.6586071523997958,1210518.73,98574.74714285714,212347.45142857145
05237,0.8781692561905681,957078.6471428572,58329.23714285714,267075.21
05240,0.6686678912704067,1123436.097142857,78730.24714285714,132182.8457142857
05250,0.3990097961065643,1107268.3557142855,190325.77000000002,122703.24142857143
05264,0.8684986486363082,1732099.6328571427,77140.78142857143,410756.7528571429
05266,0.9755005016809682,1633802.184285714,24897.53142857143,822746.0028571428
05282,0.8582257236696622,746865.7671428572,37644.50142857143,197772.92714285714
05284,0.6064813724374832,1222758.0528571426,74227.01428571428,97822.96285714286
05306,0.6987944861571991,1682674.6285714286,171886.7285714286,364250.9314285714
05308,0.9974952203421452,1308351.8442857142,1368.2242857142858,631352.04
05310,0.7061619303821339,1593019.0085714287,111409.16428571429,188751.16857142857
05313,0.6027887893662796,1459321.3214285714,103728.57428571429,146216.62
05315,0.5843190042782874,1819850.2814285713,162546.57142857142,191416.68571428568
05318,0.986350812357073,1001724.9314285713,8447.578571428572,538925.09
05321,0.8858338697900331,1970218.472857143,94213.17714285714,659838.9371428572
05347,0.5940409684564001,1457987.657142857,139818.48428571428,177604.49714285714
05353,0.6390484359649397,1319447.3399999999,146352.42714285714,196120.74857142856
05360,0.9902244621229366,1330851.52,8005.954285714286,719757.96
05361,0.7633913620796468,1134695.6199999999,51674.37714285714,170462.94285714286
05364,0.7593069005804074,1057961.5185714285,73981.92142857143,191788.9742857143
05368,0.8222210417921655,1128262.8642857142,74247.57857142857,297452.58142857143
05376,0.9860339701611284,1018246.9157142857,9012.397142857142,519349.7328571429
05380,0.9846640694093022,1243354.4257142858,10997.988571428572,630922.5171428572
05390,0.8360993993898056,1337646.9814285713,87199.72285714284,444187.82571428566
05400,0.8674667965136429,992781.5571428571,52249.072857142855,300970.4914285714
05411,0.6449467287893061,1197080.55,81683.00285714286,143393.36285714287
05425,0.7704455380821774,1629823.4285714286,114107.36142857143,308324.3842857143
05440,0.9623947322944194,944979.9471428571,20111.852857142858,328934.7485714285
05467,0.6534395311030247,1345998.2242857143,103004.83428571429,136821.75142857144
05475,0.3451018131051256,2018589.8842857142,389174.32,236629.4385714286
05480,0.6370046616640418,1836325.7128571428,133731.4142857143,266452.3
