codigo_municipio,turnout
05001,0.5788142536314733
05002,0.42513997218108956
05004,0.4478780189674018
05021,0.4684561011290788
05030,0.4348728664353886
05031,0.31130206060126153
05034,0.43939704435943827
05036,0.4159755013377108
05038,0.35533590642336704
05040,0.21588502715670357
05042,0.4449600742400791
05044,0.3782306427998172
05045,0.4377705557419363
05051,0.4054870459712509
05055,0.4023067727191082
05059,0.38685454224906
05079,0.46948503557246085
05086,0.4632534202396119
05088,0.4948086068741933
05091,0.36980022246192973
05093,0.38403348094902756
05101,0.43640399554253345
05107,0.26476599279289853
05113,0.3266997822403507
05120,0.3130408360846098
05125,0.4235979435766513
05129,0.5663160087753929
05134,0.2199876902287392
05138,0.4534653804573378
05142,0.3552793637957599
05145,0.45025301636086484
05147,0.39387278408077064
05148,0.6373792091947578
05150,0.42962138990335597
05154,0.42022871501822107
05172,0.40154186514127616
05190,0.4051319845586837
05197,0.4646202665518044
05206,0.47003453855266975
05209,0.39343690192568453
05212,0.517094926919768
05234,0.288165432531139
05237,0.4753982869817399
05240,0.42072855615878246
05250,0.2877232895717302
05264,0.5247413933278875
05266,0.5626069430409071
05282,0.4028797360894628
05284,0.3155904498096874
05306,0.49605648378106243
05308,0.5063295712972451
05310,0.43052923818419286
05313,0.40742916076352265
05315,0.3000120684951587
05318,0.6233555538756151
05321,0.5929270387749973
05347,0.4017521950161159
05353,0.40733617350778656
05360,0.5111815055604202
05361,0.21870758116078792
05364,0.5584661937260254
05368,0.5031528584367109
05376,0.6442604947437629
05380,0.5233626234045194
05390,0.47676768819156995
05400,0.601010254494686
05411,0.440317298025058
05425,0.40241458939693536
05440,0.5964115897860851
05467,0.44033077208468807
05475,0.29181099876070243
05480,0.3059739409906155
05483,0.3609623924715549
05490,0.35327066571807747
05495,0.2840990301410681
05501,0.4514833644941495
05541,0.48393189275480947
05543,0.43831094266079457
05576,0.42131061831897954
05579,0.37674576927761466
05585,0.41472268958186653
05591,0.4798730341645564
05604,0.3031033159877456
05607,0.6429513933133993
05615,0.6322306847377311
05628,0.4105133325459496
05631,0.6182333308539733
05642,0.35914638197755877
05647,0.33284943070563044
05649,0.43438785289166965
05652,0.32790695294633865
05656,0.4468655153968369
05658,0.4598972687282781
05659,0.37220607442172804
05660,0.4219969434178359
05664,0.5241111580909816
05665,0.36193718959684035
05667,0.42906010686102364
05670,0.4050633056245766
05674,0.5716553764659071
05679,0.44499279004404163
05686,0.5554019886167831
05690,0.4483244884473381
05697,0.5913480050799472
05736,0.306238670763266
05756,0.47044027981475767
05761,0.4360407128575384
05789,0.47536359821840374
05790,0.2393069517857201
05792,0.3771445248808579
05809,0.3834132861067957
05819,0.3118025891452274
05837,0.394567164458079
05842,0.34431176091105176
05847,0.34939424192284135
05854,0.22908653646106866
05856,0.43576537021802686
05858,0.3442718300494947
05861,0.42062482952894503
05873,0.3306791166482566
05885,0.338311671523931
05887,0.387514028351193
05890,0.34263995940825875
05893,0.4806612185283946
05895,0.2741965896876367
08001,0.35548891549007633
08078,0.43546269608285265
08137,0.32182071522470274
08141,0.39840798690544027
08296,0.3767207342097366
08372,0.36256858660193764
08421,0.36769265663710593
08433,0.37802023481471103
08436,0.3620143271629935
08520,0.39555687858310495
08549,0.39658979096618363
08558,0.5063427305187295
08560,0.3728340646938707
08573,0.4208275189660018
08606,0.44094138598148797
08634,0.4576288452671335
08638,0.45777205632909446
08675,0.4114477088214349
08685,0.39819464609463634
08758,0.35231045000657807
08770,0.3944695359779235
08832,0.4857127949167769
08849,0.45724163651990957
11001,0.5745195900036719
13001,0.35342969161488896
13006,0.4356520179238979
13030,0.3602293356210083
13042,0.3896867112205752
13052,0.3693983944318328
13062,0.3632186275838185
13074,0.3859112089865086
13140,0.39421319355820283
13160,0.4624065207666236
13188,0.4221933565637944
13212,0.47126525344408393
13222,0.36639350531437975
13244,0.41131615509220937
13248,0.4116886801601359
13268,0.40255225328351746
13300,0.39653889382400265
13430,0.40112828016375834
13433,0.36037816576379395
13440,0.3713474318575106
13442,0.3424721813452528
13458,0.2851368273844305
13468,0.37283821268763856
13473,0.4412533993650589
13490,0.3599477280016226
13549,0.419544448103807
13580,0.43462041920304334
13600,0.4433722912354906
13620,0.4400583742891556
13647,0.42809326843908113
13650,0.35509225220470697
13654,0.44911752868934807
13655,0.3648128506553331
13657,0.3989356546023471
13667,0.3829775705410779
13670,0.4070028049784059
13673,0.34890454921055747
13683,0.34126734630889444
13688,0.4638792601991636
13744,0.40625690303545114
13760,0.46171182477146927
13780,0.45771052633965265
13810,0.32549922085839955
13836,0.3520558080316314
13838,0.4133938125356644
13873,0.43858060890919714
13894,0.487693249446402
15001,0.6262403218597823
15022,0.4937875737177732
15047,0.5923237989999721
15051,0.552292832602588
15087,0.553771522796847
15090,0.5056065611092703
15092,0.4971173649887165
15097,0.5015034106372281
15104,0.4583425863608511
15106,0.5458902516616944
15109,0.5348791608351835
15114,0.5977409583224831
15131,0.5229355499327873
15135,0.5298748480907429
15162,0.5987679380164457
15172,0.5165048675343248
15176,0.5674565536287808
15180,0.5259744031562075
15183,0.5194000234513905
15185,0.4377562729877263
15187,0.5769243228813368
15189,0.5813852516920519
15204,0.5138764523745946
15212,0.5089766565867508
15215,0.6208831872423649
15218,0.4769035442369643
15223,0.37259745919302517
15224,0.59296214705594
15226,0.5646000264022751
15232,0.5288047655512209
15236,0.5103854949054719
15238,0.641479155613116
15244,0.5576140617838622
15248,0.5934529386099919
15272,0.4903491965570838
15276,0.5705828648009621
15293,0.5529646608337849
15296,0.5327270263988654
15299,0.558444972503114
15317,0.5652006156930337
15322,0.5417151075207327
15325,0.5576726584238324
15332,0.573868908034954
15362,0.5387766167777465
15367,0.5029511867567472
15368,0.5329556267135114
15377,0.560771053836045
15380,0.550420875962622
15401,0.4808238955347058
15403,0.5622577628390577
15407,0.651620038053896
15425,0.554104292099151
15442,0.4205728068732969
15455,0.5857193331750706
15464,0.6461856444113293
15466,0.5996055233937101
15469,0.5233479293150773
15476,0.5630454400207517
15480,0.515422563975136
15491,0.6587764118195529
15494,0.5060599442647267
15500,0.5652394052735044
15507,0.5282310718806456
15511,0.5581726990629501
15514,0.6017375576876822
15516,0.6092529660950972
15518,0.5545155749803365
15522,0.5528767629423023
15531,0.5282709116614444
15533,0.5685526476752345
15537,0.5129560269695187
15542,0.4774896911898677
15550,0.5560277217725157
15572,0.514404226894795
15580,0.4721117526125972
15599,0.5296589694433639
15600,0.6117040406030954
15621,0.537663819571098
15632,0.5698941776997669
15638,0.640118370242621
15646,0.5993935661627976
15660,0.5719360441827848
15664,0.46920472778446093
15667,0.5431663970871263
15673,0.5359029474538199
15676,0.5538045434046494
15681,0.48792797052185943
15686,0.4841500479456856
15690,0.5120219832271447
15693,0.6301987391314205
15696,0.5581564505096935
15720,0.4964422499061709
15723,0.47802717653049703
15740,0.5819062522626796
15753,0.603953934419503
15755,0.5117409282487304
15757,0.4872165492833108
15759,0.6096894161238315
15761,0.5397751638514897
15762,0.6021252875164176
15763,0.5947187875242232
15764,0.5720196605751393
15774,0.5483631163441378
15776,0.5892643001840355
15778,0.565502954605396
15790,0.4584079706034715
15798,0.5431821065679276
15804,0.45635460345224177
15806,0.6242248355457042
15808,0.6122620725569371
15810,0.5051271626530898
15814,0.5701601573800553
15816,0.4640619396934788
15820,0.6421009729968313
15822,0.4513931378868009
15832,0.5470966850433461
15835,0.4914158193896171
15837,0.5886592665283717
15839,0.6162866574221029
15842,0.6012281154911245
15861,0.5212711068149426
15879,0.5718972340490103
15897,0.5270146564852678
17001,0.6002971741591236
17013,0.5040950058508582
17042,0.5413420208678977
17050,0.5111804647474125
17088,0.48003181777517917
17174,0.5352617285971679
17272,0.4886010234046999
17380,0.4903314377301336
17388,0.467474187673145
17433,0.5004635900655859
17442,0.3950400383278161
17444,0.5235436131646183
17446,0.4319661843109734
17486,0.5102740076618149
17495,0.49992261503016683
17513,0.5178384144609047
17524,0.4834758610479762
17541,0.5290131929604551
17614,0.5074943718783241
17616,0.4740375966487787
17653,0.47039584670287127
17662,0.4441329545005174
17665,0.5198559477311671
17777,0.4952652735178211
17867,0.5061162878633374
17873,0.6007323651228172
17877,0.5455187765249828
18001,0.5060559680508794
18029,0.4303258142492886
18094,0.4391173735113356
18150,0.26745201581824174
18205,0.3025353314280233
18247,0.37846983201231704
18256,0.30643896641555113
18410,0.28580998590647705
18460,0.24519626266135158
18479,0.39253462518252025
18592,0.3525312757468128
18610,0.43037817003796697
18753,0.33269773373078354
18756,0.204438061298784
18785,0.301368954886938
18860,0.33830434628125317
19001,0.5492847374887748
19022,0.36898641727377124
19050,0.4071543442719897
19075,0.403795745486049
19100,0.38229021391301093
19110,0.4430790140338285
19130,0.37606717005897206
19137,0.4841673983172502
19142,0.5486656495929375
19212,0.5378789817794427
19256,0.4017218018237544
19290,0.46169890037829464
19300,0.6567941748510919
19318,0.34019532883071024
19355,0.4590849211799416
19364,0.5623797704425094
19392,0.4373388493081931
19397,0.37616985050062807
19418,0.29287068489590345
19450,0.38327189142825896
19455,0.5855022113660647
19473,0.39821009927042084
19513,0.5688397573652068
19517,0.44195450882361376
19532,0.37357930352349766
19533,0.34814669323284936
19548,0.46861928358607174
19573,0.5227585589530832
19585,0.42940041486959873
19622,0.46614689352183636
19693,0.43861715767595644
19698,0.5115480135404029
19701,0.38229651625121674
19743,0.4811487500422002
19760,0.46737983067576927
19780,0.39635622883780863
19785,0.42790017690348775
19807,0.5273942881972127
19809,0.4059199989278978
19821,0.5570459329019222
19824,0.43037628583508897
19845,0.5950339919931849
20001,0.459055768640167
20011,0.513432648340528
20013,0.4150768922884054
20032,0.4310156865232038
20045,0.41430468119782404
20060,0.42989405516821105
20175,0.4121395847369259
20178,0.4371735564221293
20228,0.44175471206490363
20238,0.4463740519578532
20250,0.46039626740073125
20295,0.4850840551357578
20310,0.4368405172784476
20383,0.48788249350893925
20400,0.4928118241689134
20443,0.5022631321449937
20517,0.458571182601036
20550,0.4568623992969595
20570,0.3203757728750909
20614,0.47988929848981954
20621,0.4231328468452299
20710,0.4780386702780504
20750,0.47669882759944715
20770,0.5620116139558846
20787,0.4366456938604847
23001,0.4652672657272509
23068,0.3984346236157019
23079,0.4248789339631811
23090,0.3652075798395488
23162,0.4649156321098918
23168,0.4521332003477842
23182,0.5557148139581909
23189,0.46984695950347993
23300,0.5005323303866603
23350,0.4153113083969309
23417,0.46215916365361454
23419,0.41812752214466287
23464,0.5157966763069609
23466,0.45030142913201426
23500,0.42684835808343335
23555,0.4435585442412059
23570,0.4797312786029989
23574,0.40975976952885
23580,0.4192404597757043
23586,0.46577581687624414
23660,0.4635070971957321
23670,0.4898362975167959
23672,0.476093910691891
23675,0.3938370604586806
23678,0.36202134929893726
23682,0.45919660599029843
23686,0.4428244915185722
23807,0.3552708665741659
23815,0.5065156177428226
23855,0.4475555641080229
25001,0.5499338984419413
25019,0.5398053991407217
25035,0.5748823030519106
25040,0.5239381085467942
25053,0.6070381316110043
25086,0.4972167097752971
25095,0.42080702372461987
25099,0.684699191386966
25120,0.47236845795564814
25123,0.5481672184820214
25126,0.6723217815136142
25148,0.4495382350318202
25151,0.5691074974374442
25154,0.5178753023991941
25168,0.4783499096692271
25175,0.6571949770343276
25178,0.6094422427310248
25181,0.5804477510642941
25183,0.5992955246991876
25200,0.6737803908428133
25214,0.6171777895755441
25224,0.6462382507709291
25245,0.5422845650337254
25258,0.4884169706897117
25260,0.7234949484459076
25269,0.6582775006675449
25279,0.6101358702849696
25281,0.5518036244300741
25286,0.6507136525514519
25288,0.5605801224672918
25290,0.579161342520495
25293,0.4688847176269517
25295,0.6861493526629203
25297,0.5226041086232602
25299,0.5387267890792155
25307,0.5515391124797786
25312,0.5881029222447104
25317,0.57011283045004
25320,0.5316027883668095
25322,0.616488991616484
25324,0.42448761424586434
25326,0.6422596097715056
25328,0.5819940953751033
25335,0.6187625916324474
25339,0.6542937577507321
25368,0.43192187446529823
25372,0.5367028194057909
25377,0.6025935286380723
25386,0.5442095479899453
25394,0.42370795020386154
25398,0.5643588023989734
25402,0.5913610398382723
25407,0.5955174783561235
25426,0.5481942911685894
25430,0.6612129731038501
25436,0.5894759985799167
25438,0.5270053953322549
25473,0.6672453306935863
25483,0.44971462195367806
25486,0.6524724883051288
25488,0.498614931586619
25489,0.5835950103183464
25491,0.5745335010096704
25506,0.49361798083170055
25513,0.5393960466193825
25518,0.4253938545435165
25524,0.5061182382068354
25530,0.5401692019196302
25535,0.5228039658964614
25572,0.46900709138284113
25580,0.4657022050035238
25592,0.6121886481101143
25594,0.5937542281864852
25596,0.5103772349536451
25599,0.5630813257118005
25612,0.5169003917083147
25645,0.5529880433467642
25649,0.5155824591771808
25653,0.447381754266022
25658,0.568468928529478
25662,0.4885488400778403
25718,0.5505914493969193
25736,0.6490993487564559
25740,0.6008686499081837
25743,0.5546974020044744
25745,0.5953601191721296
25754,0.6102627809674541
25758,0.7048298358126216
25769,0.667896809543504
25772,0.6599109154576087
25777,0.5586516192307307
25779,0.559643929403187
25781,0.6283165537583477
25785,0.6678535788446245
25793,0.6253496045390937
25797,0.562558725218261
25799,0.6645798622766539
25805,0.5195474671824887
25807,0.5041149001473197
25815,0.5167655297664959
25817,0.6911936718216122
25823,0.4518357494926792
25839,0.43905956201332746
25841,0.5904395440034592
25843,0.5896156721745778
25845,0.618858110947305
25851,0.5354332155094206
25862,0.4910314495064891
25867,0.519047485108492
25871,0.49763259559909584
25873,0.6641568847553255
25875,0.5812420144802088
25878,0.5064808673682359
25885,0.41296548472244377
25898,0.6194102642862699
25899,0.647697425272922
27001,0.43301602977169046
27006,0.39161553459715936
27025,0.3697195205903667
27050,0.3945978576063208
27073,0.26572572469642053
27075,0.3812065116674758
27077,0.3000229312241911
27099,0.23336469143503943
27135,0.3691020107840863
27150,0.3143799475974708
27160,0.45649643469949786
27205,0.35820896051906337
27245,0.4357732320504685
27250,0.2872841374257578
27361,0.3492331653793521
27372,0.24329107110657228
27413,0.3453990224888955
27425,0.2937634876068238
27430,0.32216125769954296
27450,0.33980861234648885
27491,0.3165537256840265
27495,0.31540112617835786
27580,0.35403120831528806
27600,0.4661271395987601
27615,0.29126709101424963
27660,0.2795646988450593
27745,0.2705394716679536
27787,0.41771910289524905
27800,0.3408031855154719
27810,0.4450034578874423
41001,0.5365844593348966
41006,0.5419270343315865
41013,0.5218581276726862
41016,0.45540003333943535
41020,0.4124208556494121
41026,0.5188908402344176
41078,0.3962228150975048
41132,0.49102928870080814
41206,0.4655153961220252
41244,0.5547778934937868
41298,0.5058102320549643
41306,0.48322922081192077
41319,0.5115625441232694
41349,0.48873530629071454
41357,0.49885641721309637
41359,0.5765267003096153
41378,0.5138757670052778
41396,0.4812766959515596
41483,0.5355654839746904
41503,0.6064638160091557
41518,0.5594730715709219
41524,0.47762015569030025
41530,0.5203298728348086
41548,0.5277682596755631
41551,0.5073152673924178
41615,0.49793889016491033
41660,0.569584182315029
41668,0.5149592033321972
41676,0.5815869452814233
41770,0.5083595689092897
41791,0.5265632273717442
41797,0.5332183548549445
41799,0.4301491296487108
41801,0.4821836156098643
41807,0.5594837406922742
41872,0.49682068494229964
41885,0.5747134278768133
44001,0.3914124835639982
44035,0.387159686070793
44078,0.4082483520225167
44090,0.337229452229202
44098,0.4597754510577075
44110,0.4806080384919382
44279,0.4805403498108677
44378,0.41536582249799886
44420,0.46597938445246656
44430,0.28804862291148586
44560,0.14756263836594585
44650,0.4753855352568511
44847,0.1129360908963029
44855,0.517022510156814
44874,0.48415970549651544
47001,0.4469563378716693
47030,0.47877721888806873
47053,0.3789166164337606
47058,0.40168551484526915
47161,0.37629019571497535
47170,0.4020171688719141
47189,0.3802415636860017
47205,0.3763835120329459
47245,0.40578513963230084
47258,0.43087761280107334
47268,0.41172505301023665
47288,0.39576664894449254
47318,0.34080748168855723
47460,0.4235297737182327
47541,0.3834225565969616
47545,0.45684558717110413
47551,0.38162786667975496
47555,0.4082693530737324
47570,0.3477670361888917
47605,0.3965765341822376
47660,0.42686917284212306
47675,0.42030101127434716
47692,0.4264413742220864
47703,0.4944341385340462
47707,0.4699234226841149
47720,0.46866124985240143
47745,0.3056620925080825
47798,0.41384173554109366
47960,0.42316987770055964
47980,0.352836893885306
50001,0.5838655629126677
50006,0.6462516704954886
50110,0.5563864387911241
50124,0.5161463619345319
50150,0.6844500848103582
50223,0.588659549126529
50226,0.6072110827555381
50245,0.5412047828057285
50251,0.4347058553814532
50270,0.6076878363875522
50287,0.5344771096949399
50313,0.534313241519027
50318,0.6428789481090602
50325,0.2874023166390364
50330,0.38214476874578135
50350,0.367635785122408
50370,0.38893689825900135
50400,0.48875804776832615
50450,0.3900494301178231
50568,0.4472996713104734
50573,0.5149056884971899
50577,0.4669006182138734
50590,0.43562747419247516
50606,0.559463320338819
50680,0.582728914050002
50683,0.4507145319875949
50686,0.6007149731696872
50689,0.5670805909369243
50711,0.44144717291436947
52001,0.553033735472727
52019,0.6158111599504046
52022,0.5570945518976942
52036,0.4487354201626016
52051,0.496811020798064
52079,0.2527429345908495
