codigo_municipio,nbi_rate,nbi_urban,nbi_rural
05001,0.05230398664972173,0.051734986949670894,0.08568250195939625
05002,0.13958914243441645,0.08757755013706536,0.17346363465514003
05004,0.11630079402148528,0.0480225988700565,0.15003489183531055
05021,0.12676424464192368,0.06948228882833787,0.2044334975369458
05030,0.0966388129051598,0.07829649095687123,0.11389919266855772
05031,0.22377240454793704,0.11646967474764905,0.3692397660818713
05034,0.12288330137467254,0.09768495496988784,0.14697802197802196
05036,0.13026132056652703,0.08511722731906218,0.1592920353982301
05038,0.2052380952380953,0.1034191642043056,0.23490345590948222
05040,0.2799613179526145,0.1893045086047504,0.36556540424388934
05042,0.14129582861621529,0.09405681371907315,0.2351716961498439
05044,0.16332602568117757,0.06610169491525424,0.1853630426431041
05045,0.146740097512367,0.10906890800274717,0.31396080329058795
05051,0.6248715704554968,0.2572557994382607,0.8369134765390615
05055,0.17139462349621268,0.12882610158089472,0.2050531914893617
05059,0.08357348703170028,0.059602649006622516,0.096826688364524
05079,0.07012393267743888,0.05803716987283991,0.08133206634416033
05086,0.13385679566274067,0.09675405742821472,0.14971977582065651
05088,0.05575304609973621,0.05148862872813785,0.14959302605596492
05091,0.1621841890790546,0.11205882352941175,0.19502794372711502
05093,0.17180967549273343,0.13019457122267597,0.1876948468732808
05101,0.11847006843974704,0.0871125836957272,0.1712989882544482
05107,0.2566431214261689,0.1763029315960912,0.31318051575931233
05113,0.2913952225841477,0.14559763895720612,0.3469540768509841
05120,0.4983154670750383,0.35467886411282634,0.5344224596368514
05125,0.18617248752672844,0.13802256138022562,0.19934640522875818
05129,0.05473141066986087,0.04643403535041177,0.08982035928143713
05134,0.24641988651715757,0.10711225364181663,0.3105761641673244
05138,0.2279162365432827,0.08766370933671315,0.3031264159492524
05142,0.1213653603034134,0.09872480460715756,0.15748031496062992
05145,0.08924806746310612,0.06885919835560124,0.10632802410675851
05147,0.2098233995584989,0.15370996806929912,0.3396737142439095
05148,0.05846360482035593,0.040509716857759795,0.0869481302774427
05150,0.06234939759036145,0.05651011836578847,0.0841654778887304
05154,0.2210421624693638,0.17000567000567,0.5850746268656717
05172,0.21194067461031715,0.1523023700552225,0.5196806741323872
05190,0.13238105949836915,0.12955254942767952,0.1504571903574397
05197,0.14310004760933143,0.0926425919676004,0.17716759712885952
05206,0.12483978467059728,0.07077625570776255,0.16891577477896697
05209,0.18539500715931023,0.14947089947089948,0.21179393023004642
05212,0.03807933962512159,0.030755853273646584,0.07062106468231254
05234,0.4726166328600406,0.1540898291661953,0.6760604089890889
05237,0.061004024571065456,0.041814058956916096,0.1284257488846399
05240,0.13891310665504214,0.05277625068719076,0.1573377234242709
05250,0.35617994069275905,0.21108662485166976,0.5932203389830508
05264,0.07028135322929718,0.04500786163522012,0.10512056353291792
