"","code_dane","code_rnec","municipio","departamento","ano","eleccion","_zona","zona","puesto","puesto2","mujeres","hombres","total","mesas"
"1",5001,1001,"Medellín","Antioquia",2018,"Presidencia",1,"Urbana","01","SEC. ESC. LA ESPERANZA No 2",4557,6962,11519,30
"2",5001,1001,"Medellín","Antioquia",2018,"Presidencia",1,"Urbana","02","INST.EDUC. LA CANDELARIA",12002,7083,19085,50
"3",5001,1001,"Medellín","Antioquia",2018,"Presidencia",1,"Urbana","03","INST.EDUC.MARIA DE LOS A.",3588,2845,6433,17
"4",5001,1001,"Medellín","Antioquia",2018,"Presidencia",1,"Urbana","04","SEC. ESC. MEDELLIN",4487,3518,8005,21
"5",5001,1001,"Medellín","Antioquia",2018,"Presidencia",1,"Urbana","05","I.E.FE Y ALEGRIA GRANIZAL",483,336,819,3
"6",5001,1001,"Medellín","Antioquia",2018,"Presidencia",2,"Urbana","01","SEC.ESC. PABLO VI",5988,19101,25089,66
"7",5001,1001,"Medellín","Antioquia",2018,"Presidencia",2,"Urbana","02","SEC. ESC. DIVINA PROVIDENCIA",9368,2105,11473,30
"8",5001,1001,"Medellín","Antioquia",2018,"Presidencia",2,"Urbana","03","SEC.ESC.AGRIPINA MONTES DEL VA",12052,4745,16797,44
"9",5001,1001,"Medellín","Antioquia",2018,"Presidencia",2,"Urbana","04","I.E.FEDERICO CARRASQUILLA",518,361,879,3
"10",5001,1001,"Medellín","Antioquia",2018,"Presidencia",2,"Urbana","05","I.E.GUADALUPE",581,451,1032,3
"11",5001,1001,"Medellín","Antioquia",2018,"Presidencia",3,"Urbana","01","INST. EDUC. ASIA IGNACIANA",6834,6274,13108,35
"12",5001,1001,"Medellín","Antioquia",2018,"Presidencia",3,"Urbana","02","SEC.ESC.  MANUEL URIBE ANGEL",7069,4757,11826,31
"13",5001,1001,"Medellín","Antioquia",2018,"Presidencia",3,"Urbana","03","SEC.ESC. REPUB. DE NICARAGUA",4582,3363,7945,21
"14",5001,1001,"Medellín","Antioquia",2018,"Presidencia",3,"Urbana","04","I.E.FE Y ALEGRIA J.MARIA VELAZ",936,533,1469,4
"15",5001,1001,"Medellín","Antioquia",2018,"Presidencia",4,"Urbana","01","I.E. BARRIO SANTA CRUZ",4511,3538,8049,21
"16",5001,1001,"Medellín","Antioquia",2018,"Presidencia",4,"Urbana","02","SEC. ESC. ARZOBISPO GARCIA",4919,3664,8583,23
"17",5001,1001,"Medellín","Antioquia",2018,"Presidencia",4,"Urbana","03","I.E. REPUBLICA DE HONDURAS",4048,3027,7075,19
"18",5001,1001,"Medellín","Antioquia",2018,"Presidencia",5,"Urbana","01","I.E. REPUBLICA DE BARBADOS",7856,5683,13539,36
"19",5001,1001,"Medellín","Antioquia",2018,"Presidencia",5,"Urbana","02","I.E. SAN LORENZO DE ABURR",4754,3604,8358,22
"20",5001,1001,"Medellín","Antioquia",2018,"Presidencia",5,"Urbana","03","I.E. MANUELA BELTRAN",12285,6449,18734,49
"21",5001,1001,"Medellín","Antioquia",2018,"Presidencia",5,"Urbana","04","SEC.ESC.SAN JOSE(I.E. MAN BEL",4449,6986,11435,30
"22",5001,1001,"Medellín","Antioquia",2018,"Presidencia",5,"Urbana","05","I.E.RAMON MUNERA LOPERA",984,668,1652,5
"23",5001,1001,"Medellín","Antioquia",2018,"Presidencia",6,"Urbana","01","I.E. JOSE ANTONIO GALAN",6322,5137,11459,30
"24",5001,1001,"Medellín","Antioquia",2018,"Presidencia",6,"Urbana","02","I.E. HERNAN TORO AGUDELO",5957,4713,10670,28
"25",5001,1001,"Medellín","Antioquia",2018,"Presidencia",6,"Urbana","03","I.E. PEDRO LUIS VILLA(PR)",4044,3818,7862,21
"26",5001,1001,"Medellín","Antioquia",2018,"Presidencia",7,"Urbana","01","COL AGUSTINIANO DE SAN NICOLA",7646,6487,14133,37
"27",5001,1001,"Medellín","Antioquia",2018,"Presidencia",7,"Urbana","02","I.E. MONSEÑOR FCO. CRISTOBAL T",6916,5404,12320,33
