"","code_dane","code_rnec","municipio","departamento","ano","eleccion","_zona","zona","puesto","puesto2","mujeres","hombres","total","mesas"
"1",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"SEC.ESC.LA ESPERAZA No 2",1603,6784,8387,25
"2",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"JAR. INF. MARIA CARLA CRISTIN",10856,3072,13928,41
"3",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC.MARIA DE LOS A.",2111,1693,3804,12
"4",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"SEC.ESC.PABLO VI",3898,2633,6531,19
"5",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"SEC.ESC.AGRIPINA MONTES DEL V",4964,3705,8669,26
"6",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"SEC.ESC.MEDELLIN",2437,1714,4151,13
"7",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"SEC. ESC. DIVINA PROVIDENCIA",781,514,1295,4
"8",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"SEC.ESC.LA FRONTERA",5357,5284,10641,31
"9",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"SEC.ESC.MANUEL URIBE ANGEL",4564,2242,6806,20
"10",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC.BARRIO SANTA CRUZ",2842,2108,4950,15
"11",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"SEC.ESC.REP.DE NICARAGUA",3132,2239,5371,16
"12",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"SEC.ESC.ARZOBISPO GARCIA",3681,2659,6340,19
"13",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC.REPUBLICA DE HONDUR",2045,1409,3454,11
"14",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC.REPUBLICA BARBADOS",4472,3219,7691,23
"15",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC.SAN LORENZO DE A.",2968,2166,5134,15
"16",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INSTITUTO VICARIAL JESUS M.",4978,3838,8816,26
"17",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"SEC.ESC.NTRA SRA DE LAS NIEVE",3654,2937,6591,20
"18",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC.MANUELA BELTRAN",9477,7564,17041,50
"19",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC.PEDRO LUIS VILLA",1927,1720,3647,11
"20",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"COL.AGUSTINIANO DE SAN NICOLA",5696,5165,10861,32
"21",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC.MONS.FCO.CRISTO",5178,3809,8987,27
"22",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST. EDUC.GILBERTO ALZATE A.",2975,2189,5164,16
"23",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST. EDUC. CAMPO VALDES",2280,1729,4009,12
"24",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC.ALFONSO MORA NARANJ",4803,3928,8731,26
"25",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC.JOSE MARIA BRAVO M.",2571,1736,4307,13
"26",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST. EDUC. FRANCISCO MIRANDA",6768,4822,11590,34
"27",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST. EDUC. JAVIERA LONDOÑO",2734,2588,5322,16
"28",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"ESC. HOGAR JOSE GREGORIO H.",4785,3683,8468,25
"29",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"SEC.ESC.EDUARDO URIBE BOTERO",4496,3678,8174,24
"30",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"COLISEO FERIAS AURELIO MEJIA",3795,3655,7450,22
"31",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"SEC.ESC.TRICENTENARIO",2143,1766,3909,12
"32",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC.MARIA MONTESSORI",4039,2882,6921,21
"33",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC.REPUBLICA DE URUGUA",5029,3862,8891,26
"34",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"COL.PARROQUIAL SAN JUDAS T.",4152,3425,7577,23
"35",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC.CIUDADELA LAS AMERI",3385,2318,5703,17
"36",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC. MAESTRO FDO. BOTER",4832,3860,8692,26
"37",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC.DOCE DE OCTUBRE",5027,3840,8867,26
"38",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"SEC.ESC.LEON DE GREIFF",3084,1989,5073,15
"39",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC.ALFREDO COCK ARANGO",5299,4101,9400,28
"40",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"SEC.ESC.SAN MARTIN DE PORRES",3021,2188,5209,16
"41",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC. KENNEDY",6459,4787,11246,33
"42",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"COL.VIDA Y PAZ PROGRESAR UNID",1779,1366,3145,10
"43",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC.SAN VICENTE DE PAUL",4814,3640,8454,25
"44",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"SEC.ESC.EL DIAMANTE",5635,4089,9724,29
"45",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC.FE Y ALEGRIA  VILLA",4910,3470,8380,25
"46",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST. EDUC.MARISCAL ROBLEDO",7757,6353,14110,42
"47",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"SEC.ESC.SANTA MARGARITA",2036,1377,3413,10
"48",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC.SN-FCO ASIS SEC EST",705,543,1248,4
"49",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC.VIDA PARA TO SEC.H.",4014,3010,7024,21
"50",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC.SAN FCO.DE ASIS",1975,1636,3611,11
"51",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"ESC. REPUBLICA DEL PERU",2017,1558,3575,11
"52",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"SEC.ESC. JULIA AGUDELO",7798,5695,13493,40
"53",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"SEC.ESC.FCO.ANTONIO URIBE",3911,3179,7090,21
"54",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC.JUAN DE LA CRUZ P.",2328,1503,3831,12
"55",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC.VILLA TURBAY",963,610,1573,5
"56",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"SEC.ESC.ALEJANDRO ECHAVARRIA",3344,2610,5954,18
"57",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC.MERCEDITAS GOMEZ",2813,1966,4779,14
"58",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC.MANUEL JOSE CAICEDO",2054,1513,3567,11
"59",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC. LA MILAGROSA",6207,4842,11049,33
"60",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"SEC.ESC.MERCEDES YEPES ISAZA",1770,1376,3146,10
"61",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INT.EDUC.FEDERICO OZANAM",5870,5109,10979,32
"62",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"ESC.NORMAL SUPERIOR ANTIOQUEÑ",3528,2850,6378,19
"63",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC.EL SALVADOR SEC.JOS",1920,1455,3375,10
"64",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"IGLESIA EL ESPIRITU SANTO",4130,3018,7148,21
"65",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"SEC.ESC.AGUSTIN NIETO  CABALL",1384,1003,2387,7
"66",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"COL. SALECIANO EL SUFRAGIO",6358,5400,11758,35
"67",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST. EDUC. CEFA",11030,11149,22179,65
"68",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"CTRO. COMERCIAL SAN DIEGO",6159,5587,11746,35
"69",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"ALCALDIA MPAL.(SOTANO)",8592,11305,19897,58
"70",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"SENA",2171,3398,5569,17
"71",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.TECNOLOGICO METROPOLITAN",3854,4072,7926,24
"72",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"BIBLIOTECA PUBLICA PILOTO",4825,3899,8724,26
"73",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"SEC.ESC.CARLOS OBANDO VELASCO",5905,4102,10007,30
"74",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"LIGA TENIS DE MESA ANT.",3114,3504,6618,20
"75",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"SEC.ESC.AGRUPACION COLOMBIA",6277,4698,10975,32
"76",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC.LUCRECIO JARAMILLO",9747,6591,16338,48
"77",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC.CONCEJO DE MEDELLIN",9107,6730,15837,47
"78",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"SEC.ESC.SANTA LUCIA",4934,3419,8353,25
"79",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC.RAFAEL URIBE",6737,4829,11566,34
"80",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"SEC.ESC.PEDRO DE CASTRO",6351,5033,11384,34
"81",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC.LA PIEDAD",1455,1040,2495,8
"82",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"SEC.ESC.REPUBLICA DE PANAMA",3331,2596,5927,18
"83",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"SEC.ESC.MONSE/OR PERDOMO",8326,6566,14892,44
"84",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"SEC. ESC. EL SOCORRO",2113,1743,3856,12
"85",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"SEC.ESC.MUNICIPAL SAN JAVIER",5211,4217,9428,28
"86",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC.LA AMERICA SEC.ESC.",2963,2167,5130,15
"87",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"COL. SAN LUCAS",2146,1688,3834,12
"88",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"UNIVERSIDAD EAFIT",10748,8582,19330,57
"89",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"IGLESIA DIVINA EUCARISTIA",5753,4302,10055,30
"90",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"POLITECNICO JAIME ISAZA",3956,3401,7357,22
"91",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"SEC. ESC.SANTISIMA TRINIDAD",2839,2242,5081,15
"92",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"LOCAL ACCION COMUN. SANTA FE",2941,2185,5126,15
"93",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC.SANTO ANGEL",6364,5253,11617,34
"94",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"SEC.ESC. GABRIELA MISTRAL",3644,3021,6665,20
"95",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"SEC. ESC. LA COLINA",1229,1003,2232,7
"96",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC.FATIMA NUTIBARA SEC",3447,2658,6105,18
"97",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"UNID.DEP.DE BLEN ""ANDRES ESCO",5928,4731,10659,31
"98",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"LICEO SAN RAFAEL",9241,8016,17257,51
"99",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"INST.EDUC.GUILLERMO VALENCIA",2518,2034,4552,14
"100",5001,1001,"Medellín","Antioquia",2006,"Congreso",NA,NA,NA,"SEC.ESC.JACKELINE KENNEDY",2915,1981,4896,15
