"","annoh","corp","codcirc","coddepto","codmpio","nommun","nomdepto","codparti","nomparti","eleccion","votos","censo","color","partido"
"32",2022,12,0,1,"05021","Alejandría","Antioquia",1234,"COALICION EQUIPO POR COLOMBIA","Presidencia 1era vuelta",1501,4558,"#871953","COALICION EQUIPO POR COLOMBIA"
"33",2022,12,0,1,"05021","Alejandría","Antioquia",1076,"LIGA DE GOBERNANTES ANTICORRUPCION","Presidencia 1era vuelta",399,4558,"#f07605","LIGA DE GOBERNANTES ANTICORRUPCION"
"34",2022,12,0,1,"05021","Alejandría","Antioquia",1235,"COALICION PACTO HISTORICO","Presidencia 1era vuelta",272,4558,"#1b3383","COALICION PACTO HISTORICO"
"35",2022,12,0,1,"05021","Alejandría","Antioquia",1233,"COALICION CENTRO ESPERANZA","Presidencia 1era vuelta",122,4558,"#dddddd","OTROS"
"36",2022,12,0,1,"05021","Alejandría","Antioquia",996,"VOTOS EN BLANCO","Presidencia 1era vuelta",34,4558,"#dddddd","OTROS"
"37",2022,12,0,1,"05021","Alejandría","Antioquia",997,"VOTOS NULOS","Presidencia 1era vuelta",18,4558,"#808080","VOTOS NULOS"
"38",2022,12,0,1,"05021","Alejandría","Antioquia",302,"PARTIDO MOVIMIENTO DE SALVACION NACIONAL","Presidencia 1era vuelta",7,4558,"#dddddd","OTROS"
"39",2022,12,0,1,"05021","Alejandría","Antioquia",998,"VOTOS NO MARCADOS","Presidencia 1era vuelta",6,4558,"#dddddd","OTROS"
"40",2022,12,0,1,"05021","Alejandría","Antioquia",527,"COLOMBIA PIENSA EN GRANDE","Presidencia 1era vuelta",3,4558,"#dddddd","OTROS"
"41",2022,12,0,1,"05021","Alejandría","Antioquia",14,"COLOMBIA JUSTA LIBRES","Presidencia 1era vuelta",1,4558,"#A97C20","COLOMBIA JUSTA LIBRES"
"42",2022,12,0,1,"05021","Alejandría","Antioquia",304,"PARTIDO VERDE OXIGENO","Presidencia 1era vuelta",1,4558,"#dddddd","OTROS"
"43",2022,12,0,1,"05030","Amagá","Antioquia",1234,"COALICION EQUIPO POR COLOMBIA","Presidencia 1era vuelta",4881,4696,"#871953","COALICION EQUIPO POR COLOMBIA"
"44",2022,12,0,1,"05030","Amagá","Antioquia",1076,"LIGA DE GOBERNANTES ANTICORRUPCION","Presidencia 1era vuelta",3531,4696,"#f07605","LIGA DE GOBERNANTES ANTICORRUPCION"
"45",2022,12,0,1,"05030","Amagá","Antioquia",1235,"COALICION PACTO HISTORICO","Presidencia 1era vuelta",2280,4696,"#1b3383","COALICION PACTO HISTORICO"
"46",2022,12,0,1,"05030","Amagá","Antioquia",1233,"COALICION CENTRO ESPERANZA","Presidencia 1era vuelta",496,4696,"#dddddd","OTROS"
"47",2022,12,0,1,"05030","Amagá","Antioquia",996,"VOTOS EN BLANCO","Presidencia 1era vuelta",254,4696,"#dddddd","OTROS"
"48",2022,12,0,1,"05030","Amagá","Antioquia",997,"VOTOS NULOS","Presidencia 1era vuelta",204,4696,"#808080","VOTOS NULOS"
"49",2022,12,0,1,"05030","Amagá","Antioquia",14,"COLOMBIA JUSTA LIBRES","Presidencia 1era vuelta",33,4696,"#A97C20","COLOMBIA JUSTA LIBRES"
