Código Departamento,Departamento,Código Municipio,Municipio,Comuna,Zona,Puesto,Corporacion,Circunscripcion,Partido,Código Candidato,Nombre Candidato,Votos
1,ANTIOQUIA,100100,MEDELLIN,100100,100190,01001009001,PRESIDENTE,NACIONAL,VOTOS EN BLANCO 																																														N,996,N/A,488
1,ANTIOQUIA,100100,MEDELLIN,100100,100190,01001009001,PRESIDENTE,NACIONAL,VOTOS NULOS 																																															N,997,N/A,165
1,ANTIOQUIA,100100,MEDELLIN,100100,100190,01001009001,PRESIDENTE,NACIONAL,VOTOS NO MARCADOS,998,N/A,14
1,ANTIOQUIA,100100,MEDELLIN,100100,100190,01001009001,PRESIDENTE,NACIONAL,LIGA DE GOBERNANTES ANTICORRUPCIÓN,1,RODOLFO HERNÁNDEZ,12782
1,ANTIOQUIA,100100,MEDELLIN,100100,100190,01001009001,PRESIDENTE,NACIONAL,COALICIÓN PACTO HISTÓRICO,2,GUSTAVO PETRO,4587
1,ANTIOQUIA,100100,MEDELLIN,100100,100190,01001009002,PRESIDENTE,NACIONAL,VOTOS EN BLANCO 																																														N,996,N/A,568
1,ANTIOQUIA,100100,MEDELLIN,100100,100190,01001009002,PRESIDENTE,NACIONAL,VOTOS NULOS 																																															N,997,N/A,286
1,ANTIOQUIA,100100,MEDELLIN,100100,100190,01001009002,PRESIDENTE,NACIONAL,VOTOS NO MARCADOS,998,N/A,13
1,ANTIOQUIA,100100,MEDELLIN,100100,100190,01001009002,PRESIDENTE,NACIONAL,LIGA DE GOBERNANTES ANTICORRUPCIÓN,1,RODOLFO HERNÁNDEZ,11529
1,ANTIOQUIA,100100,MEDELLIN,100100,100190,01001009002,PRESIDENTE,NACIONAL,COALICIÓN PACTO HISTÓRICO,2,GUSTAVO PETRO,4176
1,ANTIOQUIA,100100,MEDELLIN,100100,100198,01001009801,PRESIDENTE,NACIONAL,VOTOS EN BLANCO 																																														N,996,N/A,4
1,ANTIOQUIA,100100,MEDELLIN,100100,100198,01001009801,PRESIDENTE,NACIONAL,VOTOS NULOS 																																															N,997,N/A,1
1,ANTIOQUIA,100100,MEDELLIN,100100,100198,01001009801,PRESIDENTE,NACIONAL,LIGA DE GOBERNANTES ANTICORRUPCIÓN,1,RODOLFO HERNÁNDEZ,33
1,ANTIOQUIA,100100,MEDELLIN,100100,100198,01001009801,PRESIDENTE,NACIONAL,COALICIÓN PACTO HISTÓRICO,2,GUSTAVO PETRO,41
1,ANTIOQUIA,100100,MEDELLIN,100100,100198,01001009802,PRESIDENTE,NACIONAL,VOTOS EN BLANCO 																																														N,996,N/A,2
1,ANTIOQUIA,100100,MEDELLIN,100100,100198,01001009802,PRESIDENTE,NACIONAL,LIGA DE GOBERNANTES ANTICORRUPCIÓN,1,RODOLFO HERNÁNDEZ,20
