Código Departamento,Departamento,Código Municipio,Municipio,Comuna,Zona,Código Puesto,Puesto,Censo Mujeres,Censo Hombres,Voto por candidato o lista,Voto blanco,Voto total,Voto nulo,Voto no marcado,Total abstenciones,Total censo
1,ANTIOQUIA,1001,MEDELLIN,SIN COMUNA,100190,01001009001,ESTADIO ATANASIO GIRARDOT,55116,21,17369,488,18036,165,14,37101,55137
1,ANTIOQUIA,1001,MEDELLIN,SIN COMUNA,100190,01001009002,PLAZA MAYOR CTRO EXPOS. CONVEN,9,53082,15705,568,16572,286,13,36519,53091
1,ANTIOQUIA,1001,MEDELLIN,SIN COMUNA,100198,01001009801,RECLU. DE MUJERES PEDREGAL ME,57,161,74,4,79,1,0,139,218
1,ANTIOQUIA,1001,MEDELLIN,SIN COMUNA,100198,01001009802,ESTAB. CARCELARIO PEDREGAL ME,168,17,59,2,61,0,0,124,185
1,ANTIOQUIA,1001,MEDELLIN,SIN COMUNA,100198,01001009803,CENTRO CARLOS LLERAS RESTREPO,256,67,137,6,146,3,0,177,323
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 1 POPULAR,100101,01001010101,SEC. ESC. LA ESPERANZA NO 2,7439,4975,3980,166,4255,103,6,8159,12414
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 1 POPULAR,100101,01001010102,INST.EDUC. LA CANDELARIA,6750,10595,6844,305,7383,215,19,9962,17345
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 1 POPULAR,100101,01001010103,INST.EDUC.MARIA DE LOS A.,3392,4140,3781,152,4051,112,6,3481,7532
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 1 POPULAR,100101,01001010104,SEC. ESC. MEDELLIN,3716,4655,4188,175,4517,140,14,3854,8371
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 1 POPULAR,100101,01001010105,I.E.FE Y ALEGRIA GRANIZAL,1400,1567,1319,43,1400,35,3,1567,2967
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 1 POPULAR,100101,01001010106,IE LA AVANZADA,449,664,445,24,492,22,1,621,1113
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 1 POPULAR,100101,01001010107,SEC. ESC. CARPINELO AMAPOLITA,356,467,410,28,450,11,1,373,823
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 1 POPULAR,100101,01001010108,IE ANTONIO DERKA,1548,1824,1444,61,1542,34,3,1830,3372
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 1 POPULAR,100102,01001010201,SEC.ESC. PABLO VI,17562,5547,6790,263,7252,186,13,15857,23109
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 1 POPULAR,100102,01001010202,SEC. ESC. DIVINA PROVIDENCIA,2719,9031,4173,150,4447,118,6,7303,11750
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 1 POPULAR,100102,01001010203,SEC.ESC.AGRIPINA MONTES DEL VA,3388,5237,4241,167,4555,137,10,4070,8625
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 1 POPULAR,100102,01001010204,I.E.FEDERICO CARRASQUILLA,1288,1641,1509,56,1597,30,2,1332,2929
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 1 POPULAR,100102,01001010205,I.E.GUADALUPE,2042,5985,2983,154,3218,78,3,4809,8027
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 2 SANTA CRUZ,100103,01001020301,INST. EDUC. ASIA IGNACIANA,6817,7480,7686,327,8217,187,17,6080,14297
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 2 SANTA CRUZ,100103,01001020302,SEC.ESC.  MANUEL URIBE ANGEL,5595,7717,6856,304,7368,196,12,5944,13312
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 2 SANTA CRUZ,100103,01001020303,SEC.ESC. REPUB. DE NICARAGUA,3548,4801,4283,168,4595,132,12,3754,8349
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 2 SANTA CRUZ,100103,01001020304,I.E.FE Y ALEGRIA J.MARIA VELAZ,1039,1530,1499,66,1611,41,5,958,2569
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 2 SANTA CRUZ,100104,01001020401,I.E. BARRIO SANTA CRUZ,4214,5163,4715,180,5033,131,7,4344,9377
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 2 SANTA CRUZ,100104,01001020402,SEC. ESC. ARZOBISPO GARCIA,4223,5408,5331,197,5689,152,9,3942,9631
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 2 SANTA CRUZ,100104,01001020403,I.E. REPUBLICA DE HONDURAS,3537,4605,4671,195,4982,111,5,3160,8142
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 3 MANRIQUE,100105,01001030501,I.E. REPUBLICA DE BARBADOS,6623,8756,8647,345,9257,249,16,6122,15379
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 3 MANRIQUE,100105,01001030502,I.E. SAN LORENZO DE ABURR,4325,5455,5362,268,5810,173,7,3970,9780
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 3 MANRIQUE,100105,01001030503,I.E. MANUELA BELTRAN,6001,11261,9044,332,9615,223,16,7647,17262
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 3 MANRIQUE,100105,01001030504,SEC.ESC.SAN JOSE(I.E. MAN BEL,8023,5932,7499,365,8081,208,9,5874,13955
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 3 MANRIQUE,100105,01001030505,I.E.RAMON MUNERA LOPERA,1448,2005,1885,68,1996,41,2,1457,3453
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 3 MANRIQUE,100105,01001030506,IE BELLO ORIENTE,482,654,537,15,564,11,1,572,1136
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 3 MANRIQUE,100105,01001030507,IE JOSE ROBERTO VASQUEZ,609,771,793,26,837,18,0,543,1380
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 3 MANRIQUE,100106,01001030601,I.E. JOSE ANTONIO GALAN,5439,6476,6361,236,6773,165,11,5142,11915
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 3 MANRIQUE,100106,01001030602,I.E. HERNAN TORO AGUDELO,5991,7493,8444,361,8959,149,5,4525,13484
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 3 MANRIQUE,100106,01001030603,I.E. PEDRO LUIS VILLA(PR),3846,3972,3965,169,4205,70,1,3613,7818
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 3 MANRIQUE,100106,01001030604,IE SAN JUAN BAUTISTA DE LA SAL,1045,1285,1441,51,1528,35,1,802,2330
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 4 ARANJUEZ,100107,01001040701,COL AGUSTINIANO DE SAN NICOLA,6524,7678,8792,361,9339,178,8,4863,14202
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 4 ARANJUEZ,100107,01001040702,I.E. MONSEÑOR FCO. CRISTOBAL T,5329,6596,6989,270,7396,131,6,4529,11925
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 4 ARANJUEZ,100107,01001040703,I.E. GILBERTO ALZATE AVENDAÑO,5906,6768,7320,265,7733,143,5,4941,12674
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 4 ARANJUEZ,100107,01001040704,I.E. CAMPO VALDES,4581,5459,6175,217,6507,111,4,3533,10040
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 4 ARANJUEZ,100107,01001040705,I.E.SAN JUAN BOSCO,804,1303,1457,55,1540,26,2,567,2107
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 4 ARANJUEZ,100107,01001040706,IE JOSE EUSEVIO CARO,597,643,962,29,1004,13,0,236,1240
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 4 ARANJUEZ,100107,01001040707,IE LORENZA VILLEGAS DE SANTOS,556,829,1103,24,1141,14,0,244,1385
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 4 ARANJUEZ,100107,01001040708,SEC ESC TOMAS CARRASQUILLA,262,294,433,13,452,6,0,104,556
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 4 ARANJUEZ,100108,01001040801,I.E. ALFONSO MORA NARANJO,5198,6135,6890,229,7231,105,7,4102,11333
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 4 ARANJUEZ,100108,01001040802,I.E. JOSE MARIA BRAVO MARQUEZ,3107,3706,4033,147,4251,63,8,2562,6813
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 4 ARANJUEZ,100108,01001040803,I.E. FRANCISCO MIRANDA,7324,9206,8694,264,9180,207,15,7350,16530
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 4 ARANJUEZ,100108,01001040804,I.E. JAVIERA LONDOÑO,5598,5699,7162,242,7484,78,2,3813,11297
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 4 ARANJUEZ,100108,01001040805,I.E. EL BOSQUE,2361,2651,2748,100,2904,47,9,2108,5012
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 4 ARANJUEZ,100108,01001040806,IE FRANCISCO MIRANDA SD JULIO,586,725,843,34,892,15,0,419,1311
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 5 CASTILLA,100109,01001050901,I.E. JULIO CESAR GARCIA,4870,5936,7083,267,7445,92,3,3361,10806
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 5 CASTILLA,100109,01001050902,SEC. ESC. EDUARDO URIBE BOTER,4380,5372,6213,213,6543,113,4,3209,9752
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 5 CASTILLA,100109,01001050903,I.E. PBRO. ANTONIO JOSE BERNAL,7747,7984,7370,284,7789,132,3,7942,15731
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 5 CASTILLA,100109,01001050904,I.E.SEBASTIAN DE BELALCAZAR,1166,1476,1738,59,1832,35,0,810,2642
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 5 CASTILLA,100109,01001050905,IE TRICENTENARIO,4052,4754,5268,183,5523,71,1,3283,8806
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 5 CASTILLA,100109,01001050906,SEC ESC TOSCANA,882,1065,1333,40,1398,24,1,549,1947
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 5 CASTILLA,100110,01001051001,IE TRICENTENARIO,5300,7140,8077,332,8591,171,11,3849,12440
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 5 CASTILLA,100110,01001051002,I.E. MARIA MONTESSORI,7554,8588,9712,353,10273,197,11,5869,16142
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 5 CASTILLA,100110,01001051003,INST. EDU REPUBLICA DE URUGUA,2041,2424,2938,101,3092,50,3,1373,4465
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 5 CASTILLA,100110,01001051004,I.E. MAESTRO ARENAS BETANCUR,5809,7122,7773,286,8241,163,19,4690,12931
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 5 CASTILLA,100110,01001051005,I.E. DINAMARCA,1602,2023,2715,90,2846,40,1,779,3625
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 6 DOCE DE OCTUBRE,100111,01001061101,I.E. CIUDADELA LAS AMERICAS,4958,6234,6272,203,6652,171,6,4540,11192
1,ANTIOQUIA,1001,MEDELLIN,COMUNA 6 DOCE DE OCTUBRE,100111,01001061102,COL VIDA Y PAZ PROGRESAR UNID,3506,4383,4062,177,4363,117,7,3526,7889
