"","annoh","corp","codcirc","coddepto","codmpio","nommun","nomdepto","codparti","nomparti","eleccion","votos","censo","color","partido"
"1",2022,13,0,1,"05001","Medellín","Antioquia",1076,"LIGA DE GOBERNANTES ANTICORRUPCION","Presidencia 2da vuelta",687474,12414,"#f07605","LIGA DE GOBERNANTES ANTICORRUPCION"
"2",2022,13,0,1,"05001","Medellín","Antioquia",1235,"COALICION PACTO HISTORICO","Presidencia 2da vuelta",371257,12414,"#1b3383","COALICION PACTO HISTORICO"
"3",2022,13,0,1,"05001","Medellín","Antioquia",996,"VOTOS EN BLANCO","Presidencia 2da vuelta",36894,12414,"#dddddd","OTROS"
"4",2022,13,0,1,"05001","Medellín","Antioquia",997,"VOTOS NULOS","Presidencia 2da vuelta",16181,12414,"#808080","VOTOS NULOS"
"5",2022,13,0,1,"05001","Medellín","Antioquia",998,"VOTOS NO MARCADOS","Presidencia 2da vuelta",912,12414,"#dddddd","OTROS"
"6",2022,13,0,1,"05002","Abejorral","Antioquia",1076,"LIGA DE GOBERNANTES ANTICORRUPCION","Presidencia 2da vuelta",6502,13104,"#f07605","LIGA DE GOBERNANTES ANTICORRUPCION"
"7",2022,13,0,1,"05002","Abejorral","Antioquia",1235,"COALICION PACTO HISTORICO","Presidencia 2da vuelta",1025,13104,"#1b3383","COALICION PACTO HISTORICO"
"8",2022,13,0,1,"05002","Abejorral","Antioquia",996,"VOTOS EN BLANCO","Presidencia 2da vuelta",128,13104,"#dddddd","OTROS"
"9",2022,13,0,1,"05002","Abejorral","Antioquia",997,"VOTOS NULOS","Presidencia 2da vuelta",68,13104,"#808080","VOTOS NULOS"
"10",2022,13,0,1,"05002","Abejorral","Antioquia",998,"VOTOS NO MARCADOS","Presidencia 2da vuelta",22,13104,"#dddddd","OTROS"
"11",2022,13,0,1,"05004","Abriaquí","Antioquia",1076,"LIGA DE GOBERNANTES ANTICORRUPCION","Presidencia 2da vuelta",990,1451,"#f07605","LIGA DE GOBERNANTES ANTICORRUPCION"
"12",2022,13,0,1,"05004","Abriaquí","Antioquia",1235,"COALICION PACTO HISTORICO","Presidencia 2da vuelta",99,1451,"#1b3383","COALICION PACTO HISTORICO"
"13",2022,13,0,1,"05004","Abriaquí","Antioquia",996,"VOTOS EN BLANCO","Presidencia 2da vuelta",23,1451,"#dddddd","OTROS"
"14",2022,13,0,1,"05004","Abriaquí","Antioquia",997,"VOTOS NULOS","Presidencia 2da vuelta",10,1451,"#808080","VOTOS NULOS"
"15",2022,13,0,1,"05004","Abriaquí","Antioquia",998,"VOTOS NO MARCADOS","Presidencia 2da vuelta",4,516,"#dddddd","OTROS"
"16",2022,13,0,1,"05021","Alejandría","Antioquia",1076,"LIGA DE GOBERNANTES ANTICORRUPCION","Presidencia 2da vuelta",1986,4558,"#f07605","LIGA DE GOBERNANTES ANTICORRUPCION"
"17",2022,13,0,1,"05021","Alejandría","Antioquia",1235,"COALICION PACTO HISTORICO","Presidencia 2da vuelta",401,4558,"#1b3383","COALICION PACTO HISTORICO"
"18",2022,13,0,1,"05021","Alejandría","Antioquia",996,"VOTOS EN BLANCO","Presidencia 2da vuelta",54,4558,"#dddddd","OTROS"
"19",2022,13,0,1,"05021","Alejandría","Antioquia",997,"VOTOS NULOS","Presidencia 2da vuelta",18,4558,"#808080","VOTOS NULOS"
"20",2022,13,0,1,"05021","Alejandría","Antioquia",998,"VOTOS NO MARCADOS","Presidencia 2da vuelta",2,4558,"#dddddd","OTROS"
"21",2022,13,0,1,"05030","Amagá","Antioquia",1076,"LIGA DE GOBERNANTES ANTICORRUPCION","Presidencia 2da vuelta",8101,4696,"#f07605","LIGA DE GOBERNANTES ANTICORRUPCION"
"22",2022,13,0,1,"05030","Amagá","Antioquia",1235,"COALICION PACTO HISTORICO","Presidencia 2da vuelta",3276,4696,"#1b3383","COALICION PACTO HISTORICO"
"23",2022,13,0,1,"05030","Amagá","Antioquia",996,"VOTOS EN BLANCO","Presidencia 2da vuelta",302,4696,"#dddddd","OTROS"
"24",2022,13,0,1,"05030","Amagá","Antioquia",997,"VOTOS NULOS","Presidencia 2da vuelta",235,4696,"#808080","VOTOS NULOS"
"25",2022,13,0,1,"05030","Amagá","Antioquia",998,"VOTOS NO MARCADOS","Presidencia 2da vuelta",23,4696,"#dddddd","OTROS"
"26",2022,13,0,1,"05031","Amalfi","Antioquia",1076,"LIGA DE GOBERNANTES ANTICORRUPCION","Presidencia 2da vuelta",5028,11232,"#f07605","LIGA DE GOBERNANTES ANTICORRUPCION"
"27",2022,13,0,1,"05031","Amalfi","Antioquia",1235,"COALICION PACTO HISTORICO","Presidencia 2da vuelta",1382,11232,"#1b3383","COALICION PACTO HISTORICO"
"28",2022,13,0,1,"05031","Amalfi","Antioquia",996,"VOTOS EN BLANCO","Presidencia 2da vuelta",218,11232,"#dddddd","OTROS"
"29",2022,13,0,1,"05031","Amalfi","Antioquia",997,"VOTOS NULOS","Presidencia 2da vuelta",92,11232,"#808080","VOTOS NULOS"
"30",2022,13,0,1,"05031","Amalfi","Antioquia",998,"VOTOS NO MARCADOS","Presidencia 2da vuelta",17,11232,"#dddddd","OTROS"
"31",2022,13,0,1,"05034","Andes","Antioquia",1076,"LIGA DE GOBERNANTES ANTICORRUPCION","Presidencia 2da vuelta",13425,3187,"#f07605","LIGA DE GOBERNANTES ANTICORRUPCION"
"32",2022,13,0,1,"05034","Andes","Antioquia",1235,"COALICION PACTO HISTORICO","Presidencia 2da vuelta",3589,3187,"#1b3383","COALICION PACTO HISTORICO"
"33",2022,13,0,1,"05034","Andes","Antioquia",996,"VOTOS EN BLANCO","Presidencia 2da vuelta",369,3187,"#dddddd","OTROS"
"34",2022,13,0,1,"05034","Andes","Antioquia",997,"VOTOS NULOS","Presidencia 2da vuelta",169,3187,"#808080","VOTOS NULOS"
"35",2022,13,0,1,"05034","Andes","Antioquia",998,"VOTOS NO MARCADOS","Presidencia 2da vuelta",35,3187,"#dddddd","OTROS"
"36",2022,13,0,1,"05036","Angelópolis","Antioquia",1076,"LIGA DE GOBERNANTES ANTICORRUPCION","Presidencia 2da vuelta",2017,5036,"#f07605","LIGA DE GOBERNANTES ANTICORRUPCION"
"37",2022,13,0,1,"05036","Angelópolis","Antioquia",1235,"COALICION PACTO HISTORICO","Presidencia 2da vuelta",557,5036,"#1b3383","COALICION PACTO HISTORICO"
"38",2022,13,0,1,"05036","Angelópolis","Antioquia",996,"VOTOS EN BLANCO","Presidencia 2da vuelta",81,5036,"#dddddd","OTROS"
"39",2022,13,0,1,"05036","Angelópolis","Antioquia",997,"VOTOS NULOS","Presidencia 2da vuelta",44,5036,"#808080","VOTOS NULOS"
"40",2022,13,0,1,"05036","Angelópolis","Antioquia",998,"VOTOS NO MARCADOS","Presidencia 2da vuelta",7,5036,"#dddddd","OTROS"
"41",2022,13,0,1,"05038","Angostura","Antioquia",1076,"LIGA DE GOBERNANTES ANTICORRUPCION","Presidencia 2da vuelta",2809,8434,"#f07605","LIGA DE GOBERNANTES ANTICORRUPCION"
"42",2022,13,0,1,"05038","Angostura","Antioquia",1235,"COALICION PACTO HISTORICO","Presidencia 2da vuelta",645,8434,"#1b3383","COALICION PACTO HISTORICO"
"43",2022,13,0,1,"05038","Angostura","Antioquia",996,"VOTOS EN BLANCO","Presidencia 2da vuelta",112,8434,"#dddddd","OTROS"
"44",2022,13,0,1,"05038","Angostura","Antioquia",997,"VOTOS NULOS","Presidencia 2da vuelta",84,8434,"#808080","VOTOS NULOS"
"45",2022,13,0,1,"05038","Angostura","Antioquia",998,"VOTOS NO MARCADOS","Presidencia 2da vuelta",26,8434,"#dddddd","OTROS"
"46",2022,13,0,1,"05040","Anorí","Antioquia",1076,"LIGA DE GOBERNANTES ANTICORRUPCION","Presidencia 2da vuelta",2474,9831,"#f07605","LIGA DE GOBERNANTES ANTICORRUPCION"
"47",2022,13,0,1,"05040","Anorí","Antioquia",1235,"COALICION PACTO HISTORICO","Presidencia 2da vuelta",1380,9831,"#1b3383","COALICION PACTO HISTORICO"
"48",2022,13,0,1,"05040","Anorí","Antioquia",996,"VOTOS EN BLANCO","Presidencia 2da vuelta",136,9831,"#dddddd","OTROS"
"49",2022,13,0,1,"05040","Anorí","Antioquia",997,"VOTOS NULOS","Presidencia 2da vuelta",46,9831,"#808080","VOTOS NULOS"
"50",2022,13,0,1,"05040","Anorí","Antioquia",998,"VOTOS NO MARCADOS","Presidencia 2da vuelta",6,9831,"#dddddd","OTROS"
"51",2022,13,0,1,"05042","Santafé de Antioquia","Antioquia",1076,"LIGA DE GOBERNANTES ANTICORRUPCION","Presidencia 2da vuelta",7340,4546,"#f07605","LIGA DE GOBERNANTES ANTICORRUPCION"
"52",2022,13,0,1,"05042","Santafé de Antioquia","Antioquia",1235,"COALICION PACTO HISTORICO","Presidencia 2da vuelta",3100,4546,"#1b3383","COALICION PACTO HISTORICO"
"53",2022,13,0,1,"05042","Santafé de Antioquia","Antioquia",996,"VOTOS EN BLANCO","Presidencia 2da vuelta",314,4546,"#dddddd","OTROS"
"54",2022,13,0,1,"05042","Santafé de Antioquia","Antioquia",997,"VOTOS NULOS","Presidencia 2da vuelta",180,4546,"#808080","VOTOS NULOS"
"55",2022,13,0,1,"05042","Santafé de Antioquia","Antioquia",998,"VOTOS NO MARCADOS","Presidencia 2da vuelta",29,4546,"#dddddd","OTROS"
"56",2022,13,0,1,"05044","Anza","Antioquia",1076,"LIGA DE GOBERNANTES ANTICORRUPCION","Presidencia 2da vuelta",2387,3788,"#f07605","LIGA DE GOBERNANTES ANTICORRUPCION"
"57",2022,13,0,1,"05044","Anza","Antioquia",1235,"COALICION PACTO HISTORICO","Presidencia 2da vuelta",381,3788,"#1b3383","COALICION PACTO HISTORICO"
"58",2022,13,0,1,"05044","Anza","Antioquia",996,"VOTOS EN BLANCO","Presidencia 2da vuelta",55,3788,"#dddddd","OTROS"
"59",2022,13,0,1,"05044","Anza","Antioquia",997,"VOTOS NULOS","Presidencia 2da vuelta",28,3788,"#808080","VOTOS NULOS"
